Case_ID,Jurisdiction,Case_Year,Case_Type,Outcome,Cross_Jurisdictional,Finance,Customer,Internal_Process,Learning_and_Growth,Industry_Scale_and_Influence,Local_Development_Foundation,Market_Potential,Team_Source_Contribution,Customer_Satisfaction,Customer_Complaint_Number,Team_Collaboration,Business_Performance_Assessment,Public_Culture_Activities,Training_Record,Papers_and_Publications,Globalized_Individuals,Institutional_Size,High_Quality_Law_Firms,Global_Legal_Connections,Local_Economic_Development,Population_Size,Talent_Reserve_Pool,Service_Sector_Level,Article_Prediction,Cause_Prediction,Penalty_Prediction,Case_Analysis,Financial_Calculation,Liability_Score,Cross_Border_Compliance
FLC-2023-0330,Region B,2015,International Treaty,Settlement,True,391294.04,1.5,5.4,8.7,5.2,3.7,4.0,5.8,1.5,2,1.9,6.1,3.4,1,0,4,80.3,False,9,5.1,745261,7.0,6.7,Art. 97,Cross-Border Dispute,59337.34,Assess plaintiff claims -> Review evidence -> Determine outcome,355913.1,0.91,0.49
FLC-2024-0331,Region B,2022,Commercial,Settlement,False,133285.84,7.7,7.4,8.4,5.0,9.5,4.7,7.0,7.7,1,4.9,6.3,1.3,9,1,1,165.9,True,6,8.8,916108,9.5,8.7,Art. 25 CISG,Cross-Border Dispute,9581.41,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,46386.47,0.35,0.38
FLC-2025-0332,Region D,2015,Commercial,Settlement,False,196004.42,6.4,5.0,7.9,9.9,8.3,6.5,5.0,6.4,4,4.7,7.6,3.2,5,2,4,38.3,True,5,5.8,912952,6.6,8.3,Art. 25 CISG,Cross-Border Dispute,169368.93,Review charges -> Evaluate evidence -> Determine verdict,73013.52,0.37,0.53
FLC-2023-0333,Region C,2017,Criminal,Win,False,671051.33,4.3,9.5,9.0,9.6,9.8,4.1,8.1,4.3,0,4.8,10.0,1.0,1,0,4,35.4,True,9,9.5,310150,9.1,5.1,Art. 12 Penal Code,Fraud,186694.75,Review charges -> Evaluate evidence -> Determine verdict,312349.35,0.47,0.77
FLC-2024-0334,Region D,2024,Criminal,Settlement,False,130193.85,4.5,9.3,8.2,5.8,3.2,4.8,8.0,4.5,1,2.8,6.7,9.8,3,1,2,172.5,False,9,8.4,291699,7.6,9.8,Art. 12 Penal Code,Fraud,296745.85,Review charges -> Evaluate evidence -> Determine verdict,83644.7,0.64,0.76
FLC-2025-0335,Region A,2017,Commercial,Loss,False,325782.76,7.0,9.7,8.5,6.0,3.1,6.9,7.6,7.0,4,5.0,5.2,2.0,6,2,2,156.5,False,2,7.5,822929,9.9,8.2,Art. 25 CISG,Cross-Border Dispute,94453.03,Check jurisdiction -> Assess contract clauses -> Compute liability,115681.96,0.36,0.52
FLC-2023-0336,Region E,2019,Administrative,Settlement,True,369550.73,2.3,4.8,9.5,9.3,6.3,8.5,8.1,2.3,4,3.6,7.2,7.9,4,2,0,103.3,False,8,7.9,214807,7.8,5.9,Art. 5 Admin Law,Regulatory Violation,17635.32,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,245837.21,0.67,0.75
FLC-2024-0337,Region E,2021,Civil,Win,False,639877.31,8.2,4.6,7.2,9.8,8.8,6.9,8.8,8.2,2,7.2,6.4,5.3,6,2,0,199.9,False,7,5.7,394807,7.3,7.6,Art. 45 Civil Code,Breach of Contract,37752.67,Check applicable law -> Compute damages -> Advise resolution,160177.94,0.25,0.7
FLC-2025-0338,Region D,2017,International Treaty,Settlement,True,324916.2,1.3,6.8,6.5,6.4,6.5,5.0,6.7,1.3,4,0.0,5.9,6.6,1,3,3,146.6,True,8,7.4,822485,8.0,5.4,Art. 97,Cross-Border Dispute,463660.0,Check jurisdiction -> Assess contract clauses -> Compute liability,324916.2,1.0,0.65
FLC-2023-0339,Region C,2019,Commercial,Loss,False,127739.81,4.1,7.0,9.7,7.9,6.8,6.7,6.0,4.1,4,5.5,6.2,5.1,6,2,0,81.9,True,2,7.3,923427,9.8,9.4,Art. 25 CISG,Cross-Border Dispute,98794.15,Check applicable law -> Compute damages -> Advise resolution,59804.5,0.47,0.6
FLC-2024-0340,Region E,2020,Civil,Loss,True,176494.0,6.9,4.8,6.5,5.6,9.9,5.9,5.7,6.9,2,7.8,5.2,2.7,8,3,4,101.0,False,3,7.1,168229,8.7,5.3,Art. 45 Civil Code,Breach of Contract,17797.1,Assess plaintiff claims -> Review evidence -> Determine outcome,79418.51,0.45,0.83
FLC-2025-0341,Region C,2015,Administrative,Dismissed,False,278278.76,7.1,8.7,8.4,5.6,7.9,6.6,9.7,7.1,0,6.3,6.0,8.4,8,4,4,182.3,True,0,7.7,234229,10.0,6.3,Art. 5 Admin Law,Regulatory Violation,9113.1,Review charges -> Evaluate evidence -> Determine verdict,37045.44,0.13,0.63
FLC-2023-0342,Region C,2024,Civil,Dismissed,False,1049945.05,9.1,7.1,8.9,5.8,5.7,6.9,5.6,9.1,3,6.0,8.6,7.7,7,4,0,61.7,False,3,9.1,122831,9.5,9.7,Art. 45 Civil Code,Breach of Contract,0.0,Assess plaintiff claims -> Review evidence -> Determine outcome,0.0,0.0,0.63
FLC-2024-0343,Region E,2015,Criminal,Loss,True,356840.85,1.6,5.9,7.1,6.5,5.0,9.8,5.8,1.6,2,0.0,8.9,1.2,6,4,0,53.4,False,1,7.3,66350,8.4,6.6,Art. 12 Penal Code,Fraud,199885.8,Review charges -> Evaluate evidence -> Determine verdict,271017.31,0.76,0.87
FLC-2025-0344,Region B,2024,Civil,Settlement,True,408142.31,5.4,6.9,8.5,7.6,5.7,7.7,9.8,5.4,4,3.1,7.0,4.1,5,0,1,78.3,False,3,9.8,953865,9.4,7.9,Art. 45 Civil Code,Breach of Contract,245038.81,Check jurisdiction -> Assess contract clauses -> Compute liability,236706.69,0.58,0.88
FLC-2023-0345,Region E,2018,Administrative,Win,False,342679.05,4.9,8.8,9.2,5.6,9.8,9.8,6.8,4.9,0,5.6,7.1,4.1,4,2,4,139.5,True,3,9.5,603292,8.4,9.0,Art. 5 Admin Law,Regulatory Violation,69769.13,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,138240.5,0.4,0.66
FLC-2024-0346,Region D,2017,International Treaty,Settlement,False,281171.71,4.1,10.0,6.3,6.6,7.6,5.8,6.1,4.1,1,2.0,8.8,8.9,1,0,1,157.3,False,4,7.7,480490,9.2,5.0,Art. 97,Cross-Border Dispute,180397.56,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,162425.91,0.58,0.2
FLC-2025-0347,Region C,2023,Commercial,Win,False,355504.66,5.5,6.2,7.0,5.0,6.5,8.5,9.1,5.5,3,6.0,7.4,6.3,9,0,1,177.9,False,6,9.6,445161,5.5,6.2,Art. 25 CISG,Cross-Border Dispute,206615.98,Review charges -> Evaluate evidence -> Determine verdict,171343.99,0.48,0.48
FLC-2023-0348,Region A,2024,Civil,Win,False,447144.13,10.0,5.3,5.2,7.0,5.0,8.9,9.0,10.0,1,7.6,7.5,8.9,8,4,4,118.4,False,8,7.7,746569,6.5,9.6,Art. 45 Civil Code,Breach of Contract,20386.57,Assess plaintiff claims -> Review evidence -> Determine outcome,29690.24,0.07,0.55
FLC-2024-0349,Region D,2016,Commercial,Loss,True,896707.28,5.9,6.2,7.2,7.7,4.4,4.9,9.4,5.9,2,5.4,9.9,0.1,5,3,2,119.8,False,9,5.1,301572,5.9,6.3,Art. 25 CISG,Cross-Border Dispute,183236.18,Review charges -> Evaluate evidence -> Determine verdict,476648.2,0.53,0.86
FLC-2025-0350,Region E,2018,International Treaty,Loss,True,439207.57,1.7,10.0,9.9,9.4,5.8,8.1,7.1,1.7,4,1.7,8.0,5.2,8,0,3,22.1,False,9,5.0,966721,9.8,7.9,Art. 97,Cross-Border Dispute,71174.32,Check jurisdiction -> Assess contract clauses -> Compute liability,345811.26,0.79,0.51
FLC-2023-0351,Region B,2019,International Treaty,Loss,False,2746937.5,0.3,9.4,9.3,8.4,4.5,7.8,7.5,0.3,1,0.0,8.3,4.3,3,0,3,144.5,True,4,9.5,743691,6.6,8.8,Art. 97,Cross-Border Dispute,256913.75,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,2343117.84,0.85,0.3
FLC-2024-0352,Region D,2022,Civil,Settlement,True,261305.33,7.0,8.8,7.6,9.9,5.0,6.9,7.2,7.0,2,4.2,5.4,5.9,3,1,4,113.0,False,8,5.7,342954,7.4,9.7,Art. 45 Civil Code,Breach of Contract,81114.67,Check jurisdiction -> Assess contract clauses -> Compute liability,96099.02,0.37,0.94
FLC-2025-0353,Region D,2020,Criminal,Loss,False,280632.45,4.6,9.1,6.2,6.6,4.5,7.0,5.1,4.6,4,3.0,9.0,2.5,4,1,2,164.7,False,0,5.1,182844,7.0,5.9,Art. 12 Penal Code,Fraud,275673.49,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,168691.12,0.6,0.68
FLC-2023-0354,Region B,2018,Civil,Settlement,True,187284.94,7.2,5.9,5.8,7.2,6.2,4.1,5.6,7.2,4,5.1,5.6,3.4,1,1,3,78.2,False,7,5.7,766550,7.4,5.8,Art. 45 Civil Code,Breach of Contract,143089.16,Review charges -> Evaluate evidence -> Determine verdict,76963.46,0.41,0.69
FLC-2024-0355,Region B,2022,Administrative,Win,False,1416041.78,6.1,9.0,7.1,8.8,3.3,4.7,6.0,6.1,2,4.5,5.2,6.2,1,3,3,125.5,False,3,6.6,546007,6.7,5.4,Art. 5 Admin Law,Regulatory Violation,141645.21,Assess plaintiff claims -> Review evidence -> Determine outcome,418550.2,0.3,0.76
FLC-2025-0356,Region C,2020,International Treaty,Settlement,False,1214636.6,3.7,7.1,9.7,5.2,6.5,7.5,9.6,3.7,0,2.2,6.8,3.0,4,4,0,34.9,False,3,8.7,34298,7.6,10.0,Art. 97,Cross-Border Dispute,149787.37,Review charges -> Evaluate evidence -> Determine verdict,567038.75,0.47,0.3
FLC-2023-0357,Region C,2022,Administrative,Settlement,True,126550.07,4.1,6.9,5.6,6.1,3.5,7.4,8.1,4.1,2,6.7,9.1,8.6,6,3,2,145.1,False,7,7.8,665956,8.5,8.2,Art. 5 Admin Law,Regulatory Violation,65241.12,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,69441.68,0.55,0.82
FLC-2024-0358,Region D,2023,Commercial,Loss,False,173187.77,5.5,4.2,6.6,9.1,7.8,8.3,8.5,5.5,3,4.8,5.5,2.7,2,2,3,21.7,False,8,7.5,534703,7.9,5.4,Art. 25 CISG,Cross-Border Dispute,119606.95,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,82019.6,0.47,0.38
FLC-2025-0359,Region A,2017,Commercial,Loss,False,288883.92,6.2,7.2,9.4,8.4,3.8,4.9,7.1,6.2,1,5.0,5.1,8.3,1,0,4,169.3,False,0,8.7,568211,7.6,5.2,Art. 25 CISG,Cross-Border Dispute,180702.41,Assess plaintiff claims -> Review evidence -> Determine outcome,110918.03,0.38,0.55
FLC-2023-0360,Region C,2018,Administrative,Settlement,False,1379706.15,5.5,8.4,5.5,6.0,4.0,8.8,5.3,5.5,0,3.2,6.6,4.6,9,2,4,175.5,True,5,9.1,94708,6.2,7.9,Art. 5 Admin Law,Regulatory Violation,51604.29,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,469026.88,0.34,0.63
FLC-2024-0361,Region C,2018,Civil,Win,False,610787.67,7.2,4.2,7.8,6.1,5.4,8.7,6.0,7.2,2,5.7,7.3,0.1,9,0,4,164.7,False,8,8.7,217741,7.1,7.7,Art. 45 Civil Code,Breach of Contract,31670.28,Check applicable law -> Compute damages -> Advise resolution,170896.88,0.28,0.64
FLC-2025-0362,Region C,2021,Criminal,Win,False,1163480.05,2.7,6.2,6.3,8.8,8.4,6.7,8.1,2.7,3,2.7,8.5,3.8,2,4,0,102.6,True,2,8.4,583787,7.4,6.5,Art. 12 Penal Code,Fraud,38465.49,Review charges -> Evaluate evidence -> Determine verdict,768095.22,0.66,0.45
FLC-2023-0363,Region A,2016,International Treaty,Loss,True,182384.96,4.0,7.4,7.7,7.0,4.1,4.7,8.8,4.0,0,3.4,5.4,0.5,6,2,0,127.8,True,2,8.3,416794,9.0,5.6,Art. 97,Cross-Border Dispute,259496.87,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,141082.33,0.77,0.61
FLC-2024-0364,Region D,2021,Criminal,Loss,True,172699.0,3.0,6.1,8.6,6.8,8.8,6.7,8.6,3.0,0,1.9,8.5,6.3,1,4,1,66.2,False,8,5.2,47105,7.6,7.2,Art. 12 Penal Code,Fraud,304663.86,Check jurisdiction -> Assess contract clauses -> Compute liability,139524.97,0.81,0.8
FLC-2025-0365,Region A,2021,Administrative,Loss,True,1415938.17,3.7,5.3,6.0,9.6,9.0,8.6,7.0,3.7,1,1.6,6.4,9.3,9,1,0,155.3,True,4,5.5,889178,6.8,8.7,Art. 5 Admin Law,Regulatory Violation,114075.72,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,753602.59,0.53,0.77
FLC-2023-0366,Region C,2015,Administrative,Settlement,False,879024.23,6.9,6.6,8.7,8.1,9.0,8.8,5.2,6.9,3,5.2,5.4,4.9,8,4,0,101.2,False,8,5.4,182142,7.6,8.9,Art. 5 Admin Law,Regulatory Violation,56355.16,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,328849.45,0.37,0.51
FLC-2024-0367,Region B,2022,Civil,Settlement,True,55749.45,6.0,4.9,9.1,6.1,8.0,9.7,7.6,6.0,2,4.6,5.2,6.2,8,3,2,135.9,True,6,9.3,922345,7.0,7.1,Art. 45 Civil Code,Breach of Contract,181039.96,Review charges -> Evaluate evidence -> Determine verdict,21035.81,0.38,0.91
FLC-2025-0368,Region A,2024,Criminal,Win,False,606974.98,5.2,8.7,7.8,8.3,5.3,6.9,8.1,5.2,3,6.1,7.7,6.0,2,4,2,95.6,False,8,5.3,648937,7.7,7.7,Art. 12 Penal Code,Fraud,230541.37,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,337905.72,0.56,0.77
FLC-2023-0369,Region A,2024,Administrative,Settlement,True,631311.19,3.8,5.3,6.6,6.2,6.9,4.6,9.7,3.8,0,3.1,9.8,8.2,1,2,2,82.7,True,4,6.3,891861,9.3,5.2,Art. 5 Admin Law,Regulatory Violation,76818.85,Assess plaintiff claims -> Review evidence -> Determine outcome,308026.38,0.49,0.8
FLC-2024-0370,Region C,2015,International Treaty,Loss,True,366552.53,0.7,5.1,5.8,5.9,7.7,6.8,10.0,0.7,4,0.8,5.0,9.5,9,3,3,119.8,False,9,9.0,262757,6.0,9.1,Art. 97,Cross-Border Dispute,291615.14,Assess plaintiff claims -> Review evidence -> Determine outcome,316969.52,0.86,0.54
FLC-2025-0371,Region E,2018,International Treaty,Loss,False,1754347.32,2.6,7.6,7.4,9.7,3.5,7.0,8.4,2.6,2,2.2,6.9,2.4,9,0,4,20.7,False,2,5.1,305751,6.6,7.3,Art. 97,Cross-Border Dispute,69254.72,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,843464.38,0.48,0.41
FLC-2023-0372,Region B,2017,Criminal,Settlement,True,956573.4,4.9,7.0,7.6,7.2,4.8,4.7,5.5,4.9,3,2.4,9.6,4.5,8,2,3,38.1,False,4,7.1,690009,8.5,8.5,Art. 12 Penal Code,Fraud,249765.49,Assess plaintiff claims -> Review evidence -> Determine outcome,700872.49,0.73,0.85
FLC-2024-0373,Region C,2019,Commercial,Settlement,True,199462.02,3.0,7.2,9.2,7.0,8.0,9.3,6.1,3.0,2,3.3,8.8,3.6,9,3,4,111.2,False,2,6.7,842847,9.1,5.2,Art. 25 CISG,Cross-Border Dispute,207003.81,Check jurisdiction -> Assess contract clauses -> Compute liability,138239.58,0.69,0.89
FLC-2025-0374,Region D,2021,Criminal,Loss,True,154788.27,2.2,4.5,9.1,9.9,7.5,5.7,10.0,2.2,4,2.0,7.6,8.3,9,1,0,151.8,False,3,9.1,246289,8.1,9.0,Art. 12 Penal Code,Fraud,190559.65,Review charges -> Evaluate evidence -> Determine verdict,108780.58,0.7,0.75
FLC-2023-0375,Region A,2019,Commercial,Win,True,63163.05,1.5,9.3,9.0,9.7,3.7,5.6,7.5,1.5,2,3.3,6.7,0.6,2,3,0,91.5,True,3,6.3,36109,8.6,7.8,Art. 25 CISG,Cross-Border Dispute,52046.85,Check applicable law -> Compute damages -> Advise resolution,43996.17,0.7,0.75
FLC-2024-0376,Region A,2020,Administrative,Settlement,False,545225.34,6.1,7.0,9.9,7.3,3.5,9.9,9.2,6.1,1,4.8,6.7,8.1,1,2,2,149.0,False,8,6.8,746692,8.2,9.9,Art. 5 Admin Law,Regulatory Violation,77337.69,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,208638.52,0.38,0.75
FLC-2025-0377,Region C,2022,Criminal,Loss,False,709338.66,5.9,6.3,6.3,8.0,9.2,5.9,7.0,5.9,2,6.7,5.6,3.5,7,0,1,34.1,False,9,7.6,878242,5.8,9.3,Art. 12 Penal Code,Fraud,141134.47,Assess plaintiff claims -> Review evidence -> Determine outcome,326761.26,0.46,0.41
FLC-2023-0378,Region C,2016,International Treaty,Loss,True,546650.44,1.2,8.8,9.0,7.9,8.5,5.2,5.3,1.2,4,0.3,8.9,4.9,3,2,1,30.2,True,0,5.9,514672,7.9,6.9,Art. 97,Cross-Border Dispute,33571.0,Assess plaintiff claims -> Review evidence -> Determine outcome,546650.44,1.0,0.57
FLC-2024-0379,Region B,2021,Civil,Settlement,False,183264.43,6.7,4.4,7.9,8.6,3.7,7.8,6.4,6.7,2,5.8,7.7,1.3,7,2,1,52.5,False,2,7.8,592952,6.6,5.1,Art. 45 Civil Code,Breach of Contract,110093.26,Assess plaintiff claims -> Review evidence -> Determine outcome,55936.17,0.31,0.71
FLC-2025-0380,Region C,2015,International Treaty,Settlement,False,332732.86,4.0,4.7,7.3,5.4,7.2,5.6,7.6,4.0,4,3.4,5.0,2.1,2,0,4,190.8,False,4,10.0,399036,9.2,7.2,Art. 97,Cross-Border Dispute,175607.83,Check jurisdiction -> Assess contract clauses -> Compute liability,180765.05,0.54,0.41
FLC-2023-0381,Region D,2015,Criminal,Loss,True,262853.36,2.2,5.6,7.9,8.5,4.2,4.9,7.3,2.2,1,0.8,8.6,0.7,4,4,3,194.7,True,9,5.7,160245,6.6,7.2,Art. 12 Penal Code,Fraud,201232.48,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,220818.46,0.84,0.84
FLC-2024-0382,Region E,2015,International Treaty,Loss,False,161458.88,3.3,9.9,5.4,8.3,6.1,6.7,7.3,3.3,0,2.0,9.8,9.3,4,4,4,170.4,False,5,8.6,645911,9.4,6.0,Art. 97,Cross-Border Dispute,253166.07,Check applicable law -> Compute damages -> Advise resolution,102685.49,0.64,0.43
FLC-2025-0383,Region E,2017,International Treaty,Loss,True,108858.48,1.2,4.6,5.4,5.0,6.0,7.0,8.2,1.2,3,0.3,5.2,3.5,6,3,2,122.9,True,0,7.5,866665,5.4,7.3,Art. 97,Cross-Border Dispute,233412.8,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,91889.67,0.84,0.57
FLC-2023-0384,Region E,2016,Administrative,Settlement,False,199427.01,6.8,8.2,8.1,5.9,6.3,8.3,7.6,6.8,3,5.6,6.6,6.1,7,2,4,85.4,True,1,9.9,408096,8.6,9.8,Art. 5 Admin Law,Regulatory Violation,10773.01,Check jurisdiction -> Assess contract clauses -> Compute liability,64364.69,0.32,0.66
FLC-2024-0385,Region E,2017,International Treaty,Loss,True,268741.6,3.1,4.4,6.1,6.5,8.5,5.0,5.2,3.1,4,3.5,5.7,0.3,8,2,0,190.3,True,1,6.5,731493,8.2,9.1,Art. 97,Cross-Border Dispute,74636.06,Review charges -> Evaluate evidence -> Determine verdict,229852.1,0.86,0.54
FLC-2025-0386,Region B,2024,Commercial,Settlement,False,447692.85,8.7,7.7,9.5,7.5,8.8,6.4,5.5,8.7,1,7.3,6.0,6.9,6,1,1,48.4,False,9,5.8,127525,6.4,7.7,Art. 25 CISG,Cross-Border Dispute,14697.22,Check jurisdiction -> Assess contract clauses -> Compute liability,135167.96,0.3,0.57
FLC-2023-0387,Region D,2022,International Treaty,Win,False,3009423.68,5.5,5.3,8.6,8.5,4.1,9.5,5.3,5.5,1,3.8,6.2,4.0,9,3,4,61.0,True,6,8.3,45420,9.1,5.1,Art. 97,Cross-Border Dispute,152373.31,Check jurisdiction -> Assess contract clauses -> Compute liability,1697795.39,0.56,0.28
FLC-2024-0388,Region A,2016,Administrative,Dismissed,False,238666.12,8.6,9.2,8.4,9.7,8.1,5.1,7.2,8.6,2,5.7,6.9,7.4,3,2,2,127.2,False,5,6.2,606507,6.9,5.8,Art. 5 Admin Law,Regulatory Violation,90021.11,Review charges -> Evaluate evidence -> Determine verdict,60739.41,0.25,0.59
FLC-2025-0389,Region C,2017,Commercial,Settlement,True,49610.46,2.4,9.5,8.0,9.0,8.5,5.2,8.3,2.4,1,2.9,5.7,3.8,5,2,0,197.7,True,4,7.7,291144,5.8,6.2,Art. 25 CISG,Cross-Border Dispute,249297.39,Check applicable law -> Compute damages -> Advise resolution,31549.12,0.64,0.73
FLC-2023-0390,Region D,2019,Criminal,Loss,True,493255.89,3.6,6.4,9.4,6.8,7.2,4.7,5.3,3.6,3,3.4,6.1,7.1,3,2,4,143.4,False,9,7.1,819403,7.9,9.7,Art. 12 Penal Code,Fraud,237903.42,Check jurisdiction -> Assess contract clauses -> Compute liability,318702.63,0.65,0.86
FLC-2024-0391,Region D,2023,Civil,Settlement,True,140906.74,5.1,9.5,5.1,9.8,6.2,6.5,6.3,5.1,0,2.0,9.2,9.7,3,4,1,158.1,True,9,7.8,983567,7.6,5.6,Art. 45 Civil Code,Breach of Contract,75958.7,Check jurisdiction -> Assess contract clauses -> Compute liability,70639.09,0.5,0.82
FLC-2025-0392,Region D,2015,Administrative,Win,True,119141.58,3.0,9.2,7.5,5.7,4.5,7.9,7.1,3.0,1,3.0,7.4,5.0,5,2,3,33.2,False,8,8.6,299509,5.7,7.6,Art. 5 Admin Law,Regulatory Violation,260214.02,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,66199.69,0.56,0.8
FLC-2023-0393,Region D,2024,Administrative,Win,False,573994.26,7.3,5.1,5.6,5.7,8.2,6.8,8.9,7.3,2,4.8,8.0,6.9,5,0,2,134.8,True,7,7.1,800947,9.3,8.4,Art. 5 Admin Law,Regulatory Violation,81768.61,Check applicable law -> Compute damages -> Advise resolution,130756.66,0.23,0.68
FLC-2024-0394,Region A,2017,International Treaty,Loss,True,1079342.94,3.1,5.3,6.3,6.2,9.9,5.2,7.9,3.1,0,1.7,5.0,7.3,7,0,1,84.0,True,7,8.2,642157,8.8,6.3,Art. 97,Cross-Border Dispute,222939.8,Assess plaintiff claims -> Review evidence -> Determine outcome,851245.95,0.79,0.53
FLC-2025-0395,Region A,2021,Administrative,Loss,True,327847.53,1.9,6.8,7.7,10.0,5.8,7.7,6.8,1.9,3,0.9,5.2,4.3,9,3,1,158.3,True,3,8.2,401327,7.5,5.1,Art. 5 Admin Law,Regulatory Violation,115181.86,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,239868.95,0.73,0.79
FLC-2023-0396,Region D,2018,Administrative,Win,False,497677.43,9.2,5.4,8.9,9.9,6.3,5.8,7.1,9.2,2,7.6,8.7,6.3,4,1,2,66.7,True,7,9.1,621103,5.4,6.5,Art. 5 Admin Law,Regulatory Violation,17368.98,Review charges -> Evaluate evidence -> Determine verdict,66103.44,0.13,0.87
FLC-2024-0397,Region C,2024,Administrative,Settlement,False,818447.05,6.7,9.2,7.4,10.0,9.9,9.3,7.9,6.7,0,4.9,8.9,6.6,8,3,0,128.7,True,5,5.6,247509,5.8,8.9,Art. 5 Admin Law,Regulatory Violation,163766.42,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,272165.47,0.33,0.65
FLC-2025-0398,Region E,2023,Civil,Loss,True,188996.57,5.0,6.2,8.0,7.5,7.5,9.8,5.3,5.0,4,5.0,5.4,5.6,7,4,4,86.0,True,8,8.3,232897,8.5,5.0,Art. 45 Civil Code,Breach of Contract,59578.88,Check applicable law -> Compute damages -> Advise resolution,88538.94,0.47,1.0
FLC-2023-0399,Region E,2020,Criminal,Settlement,True,849644.35,3.5,7.6,5.4,5.3,5.6,8.3,7.8,3.5,0,1.0,9.1,5.6,6,4,2,141.2,True,9,6.4,910222,5.9,6.5,Art. 12 Penal Code,Fraud,156540.47,Check jurisdiction -> Assess contract clauses -> Compute liability,565821.62,0.67,0.77
FLC-2024-0400,Region A,2023,International Treaty,Settlement,True,282463.42,1.6,5.3,9.3,8.7,5.9,6.8,7.1,1.6,1,0.8,9.6,3.9,9,3,3,86.6,False,6,9.5,122509,8.8,7.4,Art. 97,Cross-Border Dispute,213442.52,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,260834.05,0.92,0.66
FLC-2025-0401,Region B,2019,Criminal,Settlement,True,587625.18,2.3,4.1,7.6,8.2,4.6,7.5,8.2,2.3,0,2.3,9.2,8.9,1,0,1,20.6,False,6,5.5,589829,8.1,5.4,Art. 12 Penal Code,Fraud,93327.81,Check jurisdiction -> Assess contract clauses -> Compute liability,443101.39,0.75,0.73
FLC-2023-0402,Region E,2017,International Treaty,Loss,False,750300.31,2.2,6.3,6.3,5.8,5.4,8.5,8.8,2.2,4,4.3,9.0,9.8,2,0,2,107.2,False,1,5.0,545283,7.8,8.6,Art. 97,Cross-Border Dispute,87221.76,Review charges -> Evaluate evidence -> Determine verdict,522682.9,0.7,0.38
FLC-2024-0403,Region B,2017,Commercial,Loss,True,149254.09,2.6,6.3,7.0,8.1,3.9,7.5,8.3,2.6,0,1.4,9.4,5.6,7,0,2,78.5,False,9,7.4,444333,5.6,9.3,Art. 25 CISG,Cross-Border Dispute,115696.92,Review charges -> Evaluate evidence -> Determine verdict,108914.21,0.73,0.65
FLC-2025-0404,Region E,2023,Commercial,Settlement,True,115829.56,2.4,9.6,6.8,5.3,8.3,8.2,8.0,2.4,2,2.3,5.2,6.2,8,4,4,193.9,True,9,5.9,858735,9.7,8.0,Art. 25 CISG,Cross-Border Dispute,214451.46,Review charges -> Evaluate evidence -> Determine verdict,75455.1,0.65,0.55
FLC-2023-0405,Region C,2015,Administrative,Win,False,136779.67,6.7,9.9,8.1,9.7,9.7,5.2,6.6,6.7,3,5.7,7.8,1.0,1,3,0,60.5,False,9,8.1,222738,8.1,6.2,Art. 5 Admin Law,Regulatory Violation,80301.92,Check jurisdiction -> Assess contract clauses -> Compute liability,26595.68,0.19,0.7
FLC-2024-0406,Region D,2016,International Treaty,Loss,False,1098859.46,1.6,9.5,7.7,8.6,3.9,7.7,8.5,1.6,4,0.0,8.3,6.8,4,1,2,180.9,True,2,10.0,147297,8.2,6.5,Art. 97,Cross-Border Dispute,93517.47,Check applicable law -> Compute damages -> Advise resolution,649462.87,0.59,0.47
FLC-2025-0407,Region D,2020,Administrative,Win,True,136125.26,5.6,7.7,8.6,7.1,8.3,5.4,6.1,5.6,3,6.6,6.7,4.9,4,0,1,67.8,True,0,6.2,741176,7.7,8.0,Art. 5 Admin Law,Regulatory Violation,255712.75,Review charges -> Evaluate evidence -> Determine verdict,77994.72,0.57,0.66
FLC-2023-0408,Region D,2016,Criminal,Win,False,33612.56,3.8,5.0,6.3,5.2,7.9,7.0,5.5,3.8,0,3.6,5.5,6.1,5,3,2,198.3,True,6,8.2,329042,5.4,9.1,Art. 12 Penal Code,Fraud,138626.72,Analyze treaty -> Evaluate cross-border compliance -> Recommend settlement,15749.76,0.47,0.59
